Title,Prompt,Points,lat lon full,lat,long,numWinners
🚒 Spray/dump water over your team at the golden gate fire hydrant,https://en.wikipedia.org/wiki/Golden_Fire_Hydrant,10,"37.758009, -122.427952",37.758009,-122.427952,5
📯 Listen to the sky and then deliver a deep message back into the Skyhorn,https://artandarchitecture-sf.com/skyhorn.html,10,"37.765177, -122.388784",37.765177,-122.388784,5
"💪🍳 Get swol at the panhandle  ",Everyone must be on a workout machine!,10,"37.772547,-122.447945",37.772547,-122.447945,5
🎲 Ask a Gamescape employee their favorite game and why,Drew’s favorite: “I’m so lucky to live by Gamescape!”,10,"37.772699, -122.437493",37.772699,-122.437493,5
☕️🐦 Have a Snowy Plover in Saleseforce Park,Buy a snowy plover from Andytown off Salesforce Park and then do a lap,10,"37.7898856,-122.3989474",37.7898856,-122.3989474,5
"🚋 Go to the Cable Car Museum ",Drew’s Partiful Profile Photo,10,"37.7946408,-122.4140823",37.7946408,-122.4140823,5
🏓 Play a game of pickleball or tennis at a public court,Good luck finding an open court!,10,"37.7518215698258, -122.51793468195844",37.751821569826,-122.517934681958,3
🐜👨🏠 Take a selfie at the Ant Man House,https://mculocationscout.com/2020/08/10/hank-pym-house-san-francisco-mcu-location-scout/,10,"37.7668357547702, -122.4441702264118",37.76683575477,-122.444170226412,3
⚡🚂 Take an Electric Caltrain,IT’S HERE!!! https://www.caltrain.com/projects/electrification/electric-trains,45,"37.7761631023055, -122.39541664908276",37.776163102306,-122.395416649083,3
🧑‍🌾 Try an exotic food at Fillmore’s Farmer’s Market,The Fillmore calls to you,20,"37.7832717924969, -122.43330404480112",37.783271792497,-122.433304044801,5
🏞️ Do a human pyramid at Lafayette Park,"Yeah, you heard me.",10,"37.7915999108756, -122.42757846229773",37.791599910876,-122.427578462298,3
🚶🏼‍➡️🦋 Ask walking Sevy where he is Swiftly walking,Sevy will be walking to all the challenges. Catch him if you can,33,"37.8042837461759, -122.37393143107448",37.804283746176,-122.373931431074,5
📢📻 Engage with a street artist/performer in some way,Use good judgment!,20,"37.8185102687787, -122.4325444667533",37.818510268779,-122.432544466753,3
☕ Pitch someone that’s not on your team a startup idea at a Cafe,Metaphorical bonus points if it’s actually a good idea,20,"37.8208178876742, -122.4095741368371",37.820817887674,-122.409574136837,3
🥇 Find the highest-ranked team and tag them,"Someone has to physically tag another person on the team in first place! Video must include proof that they were in first place at that point in time. ",10,"37.8241921683366, -122.42560237862038",37.824192168337,-122.42560237862,5
🚃🚇 Give patronage to the newest MUNI themed shop,This sub shop has all the MUNI fun!,10,"37.71641912118131, -122.45048094797686",37.716419121181,-122.450480947977,5
📸 Get a shot of your whole team on this bridge in Visitacion Valley,"You may ask who takes the picture? That’s your puzzle to figure out ",10,"37.71669364744181, -122.40668436949167",37.716693647442,-122.406684369492,5
🗿🧑‍🎨💡 Pay respects to Leonardo Da Vinci and Thomas Edison Sculptures,"Designed by Fred Olmsted Jr, grand nephew of the Frederick Law Olmsted; https://artandarchitecture-sf.com/edison-and-davinci-by-olmsted.html",30,"37.72570745414648, -122.45116113041641",37.725707454146,-122.451161130416,3
Listen to Chaka Khan from the outside of Stern Grove,"Tix are sold out, but is there a way you can hear the concert from outside??",40,"37.73585705544976, -122.47946493468933",37.73585705545,-122.479464934689,3
✡️ Summit Mount Davidson,Include the cross in your video.,20,"37.73852779007268, -122.45436798505213",37.738527790073,-122.454367985052,5
🥾 Pose as hikers with the trail stickers at the crosspoint,Where the crosstown and double cross trails cross is a post with many custom trail stickers,10,"37.74609218109251, -122.45065400223658",37.746092181093,-122.450654002237,5
🕰️ Thank Dorian Clair for maintaining the Bay Area Clock Towers,"He has an antique clock shop, tell him Drew (a former Stanford clocktower winder) says hi!",20,"37.74860623431498, -122.42526506127814",37.748606234315,-122.425265061278,3
🪙 Center yourself at the center of SF,Meditate for several minutes around the geologic center of SF marker,10,"37.75449120712018, -122.44260420569636",37.75449120712,-122.442604205696,5
⛰️ Spot all the SF Parks at Twin Peaks,How many parks can you see! Make sure to find them all,20,"37.75491856725409, -122.44653721426192",37.754918567254,-122.446537214262,3
💿 Make an album cover picture at the 16th ave. tiled steps,What kind of music does your band make?,10,"37.75629575175025, -122.47321585035081",37.75629575175,-122.473215850351,3
